KEGG	GO_ID	GO_Description
ppa:PAS_chr1-4_0321;		
ppa:PAS_chr1-4_0320;	P:GO:0006412; P:GO:0032543; F:GO:0003735; C:GO:0005737; C:GO:0005739; C:GO:0005763; C:GO:0005840; C:GO:0043229; C:GO:1990904	P:translation; P:mitochondrial translation; F:structural constituent of ribosome; C:cytoplasm; C:mitochondrion; C:mitochondrial small ribosomal subunit; C:ribosome; C:intracellular organelle; C:ribonucleoprotein complex
ppa:PAS_chr1-4_0319;		
ppa:PAS_chr1-4_0318;	P:GO:0006413; F:GO:0003743; F:GO:0046982	P:translational initiation; F:translation initiation factor activity; F:protein heterodimerization activity
ppa:PAS_chr1-4_0317;	P:GO:0006886; P:GO:0006890; P:GO:0006891; P:GO:0015031; P:GO:0016192; C:GO:0000139; C:GO:0005737; C:GO:0005794; C:GO:0016020; C:GO:0030126; C:GO:0030663; C:GO:0031410	"P:intracellular protein transport; P:retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; P:intra-Golgi vesicle-mediated transport; P:protein transport; P:vesicle-mediated transport; C:Golgi membrane; C:cytoplasm; C:Golgi apparatus; C:membrane; C:COPI vesicle coat; C:COPI-coated vesicle membrane; C:cytoplasmic vesicle"
ppa:PAS_chr1-4_0316;	P:GO:0072344; P:GO:1990116; F:GO:0000049; F:GO:0043023; C:GO:0005737; C:GO:1990112	P:rescue of stalled ribosome; P:ribosome-associated ubiquitin-dependent protein catabolic process; F:tRNA binding; F:ribosomal large subunit binding; C:cytoplasm; C:RQC complex
ppa:PAS_chr1-4_0315;	P:GO:0006338; F:GO:0008270; F:GO:0016740; F:GO:0017136; F:GO:0033558; F:GO:0046872; F:GO:0070403; C:GO:0005634	P:chromatin remodeling; F:zinc ion binding; F:transferase activity; F:NAD-dependent histone deacetylase activity; F:protein lysine deacetylase activity; F:metal ion binding; F:NAD+ binding; C:nucleus
ppa:PAS_chr1-4_0314;	P:GO:0008299; P:GO:0045337; F:GO:0004161; F:GO:0004337; F:GO:0016740; F:GO:0016765; C:GO:0005737; C:GO:0016020	"P:isoprenoid biosynthetic process; P:farnesyl diphosphate biosynthetic process; F:dimethylallyltranstransferase activity; F:geranyltranstransferase activity; F:transferase activity; F:transferase activity, transferring alkyl or aryl (other than methyl) groups; C:cytoplasm; C:membrane"
ppa:PAS_chr1-4_0313;	P:GO:0006122; F:GO:0005525; F:GO:0016787; C:GO:0005737; C:GO:0005739; C:GO:0005743; C:GO:0005750; C:GO:0070469	"P:mitochondrial electron transport, ubiquinol to cytochrome c; F:GTP binding; F:hydrolase activity; C:cytoplasm; C:mitochondrion; C:mitochondrial inner membrane; C:obsolete mitochondrial respiratory chain complex III; C:obsolete respirasome"
ppa:PAS_chr1-4_0312;	P:GO:0035556; F:GO:0004672; F:GO:0004683; F:GO:0005516; F:GO:0005524; F:GO:0009931; F:GO:0016301; C:GO:0005634; C:GO:0005737	P:intracellular signal transduction; F:protein kinase activity; F:calcium/calmodulin-dependent protein kinase activity; F:calmodulin binding; F:ATP binding; F:calcium-dependent protein serine/threonine kinase activity; F:kinase activity; C:nucleus; C:cytoplasm
ppa:PAS_chr1-4_0311;	P:GO:0000055; P:GO:0015031; P:GO:0042254; P:GO:0042273; C:GO:0005634; C:GO:0005730	P:ribosomal large subunit export from nucleus; P:protein transport; P:ribosome biogenesis; P:ribosomal large subunit biogenesis; C:nucleus; C:nucleolus
ppa:PAS_chr1-4_0310;	P:GO:0000045; P:GO:0006914; P:GO:0006995; P:GO:0015031; P:GO:0032446; P:GO:0034727; F:GO:0008641; F:GO:0019778; F:GO:0019779; C:GO:0000407; C:GO:0005737	P:autophagosome assembly; P:autophagy; P:cellular response to nitrogen starvation; P:protein transport; P:protein modification by small protein conjugation; P:piecemeal microautophagy of the nucleus; F:ubiquitin-like modifier activating enzyme activity; F:Atg12 activating enzyme activity; F:Atg8 activating enzyme activity; C:phagophore assembly site; C:cytoplasm
ppa:PAS_chr1-4_0309;	P:GO:0045893; F:GO:0031492; F:GO:0042393; C:GO:0005634; C:GO:0016514; C:GO:0071564; C:GO:0071565	P:positive regulation of DNA-templated transcription; F:nucleosomal DNA binding; F:histone binding; C:nucleus; C:SWI/SNF complex; C:npBAF complex; C:nBAF complex
ppa:PAS_chr1-4_0308;	P:GO:0006357; P:GO:0006891; F:GO:0000977; F:GO:0000981; C:GO:0000139; C:GO:0005634; C:GO:0005794; C:GO:0016020; C:GO:0043231	"P:regulation of transcription by RNA polymerase II; P:intra-Golgi vesicle-mediated transport; F:RNA polymerase II transcription regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; C:Golgi membrane; C:nucleus; C:Golgi apparatus; C:membrane; C:intracellular membrane-bounded organelle"
ppa:PAS_chr1-4_0307;		
ppa:PAS_chr1-4_0306;	P:GO:0051726; F:GO:0004672; F:GO:0004674; F:GO:0004693; F:GO:0005524; C:GO:0005634; C:GO:0016020; C:GO:0016592	P:regulation of cell cycle; F:protein kinase activity; F:protein serine/threonine kinase activity; F:cyclin-dependent protein serine/threonine kinase activity; F:ATP binding; C:nucleus; C:membrane; C:mediator complex
ppa:PAS_chr1-4_0305;	P:GO:0051726; F:GO:0004672; F:GO:0004674; F:GO:0004693; F:GO:0005524; C:GO:0005634; C:GO:0016020; C:GO:0016592	P:regulation of cell cycle; F:protein kinase activity; F:protein serine/threonine kinase activity; F:cyclin-dependent protein serine/threonine kinase activity; F:ATP binding; C:nucleus; C:membrane; C:mediator complex
ppa:PAS_chr1-4_0304;	P:GO:0006635; P:GO:0006696; F:GO:0003985; F:GO:0003988; F:GO:0016746; F:GO:0016747; C:GO:0005739	"P:fatty acid beta-oxidation; P:ergosterol biosynthetic process; F:acetyl-CoA C-acetyltransferase activity; F:acetyl-CoA C-acyltransferase activity; F:acyltransferase activity; F:acyltransferase activity, transferring groups other than amino-acyl groups; C:mitochondrion"
ppa:PAS_chr1-4_0669;	P:GO:0005975; P:GO:0046177; F:GO:0005524; F:GO:0016301; F:GO:0046316; C:GO:0005737	P:carbohydrate metabolic process; P:D-gluconate catabolic process; F:ATP binding; F:kinase activity; F:gluconokinase activity; C:cytoplasm
ppa:PAS_chr1-4_0303;	P:GO:0006779; P:GO:0006782; P:GO:0006783; P:GO:0033014; F:GO:0004418; F:GO:0016740; C:GO:0005737	P:porphyrin-containing compound biosynthetic process; P:protoporphyrinogen IX biosynthetic process; P:heme biosynthetic process; P:tetrapyrrole biosynthetic process; F:hydroxymethylbilane synthase activity; F:transferase activity; C:cytoplasm
ppa:PAS_chr1-4_0302;	P:GO:0034599; F:GO:0004672; F:GO:0004674; F:GO:0004683; F:GO:0005524	P:cellular response to oxidative stress; F:protein kinase activity; F:protein serine/threonine kinase activity; F:calcium/calmodulin-dependent protein kinase activity; F:ATP binding
ppa:PAS_chr1-4_0301;		
ppa:PAS_chr1-4_0300;	P:GO:0016226; F:GO:0009055; F:GO:0046872; F:GO:0051536; F:GO:0051537; F:GO:0051539; C:GO:0005737; C:GO:0005739; C:GO:0005758	"P:iron-sulfur cluster assembly; F:electron transfer activity; F:metal ion binding; F:iron-sulfur cluster binding; F:2 iron, 2 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; C:cytoplasm; C:mitochondrion; C:mitochondrial intermembrane space"
ppa:PAS_chr1-4_0299;	P:GO:0006116; F:GO:0003954; F:GO:0016491; C:GO:0005739; C:GO:0016020	P:NADH oxidation; F:NADH dehydrogenase activity; F:oxidoreductase activity; C:mitochondrion; C:membrane
ppa:PAS_chr1-4_0298;	F:GO:0004721; F:GO:0004722; F:GO:0017018; F:GO:0046872; C:GO:0005739; C:GO:0016020	F:phosphoprotein phosphatase activity; F:protein serine/threonine phosphatase activity; F:myosin phosphatase activity; F:metal ion binding; C:mitochondrion; C:membrane
ppa:PAS_chr1-4_0668;	F:GO:0016787	F:hydrolase activity
ppa:PAS_chr1-4_0667;	P:GO:0015031; P:GO:0032012; P:GO:0048193; P:GO:0051641; F:GO:0005085; C:GO:0005802; C:GO:0005829; C:GO:0012505	P:protein transport; P:regulation of ARF protein signal transduction; P:Golgi vesicle transport; P:cellular localization; F:guanyl-nucleotide exchange factor activity; C:trans-Golgi network; C:cytosol; C:endomembrane system
ppa:PAS_chr1-4_0297;		
ppa:PAS_chr1-4_0296;	P:GO:0000432; F:GO:0043565; C:GO:0005634	P:positive regulation of transcription from RNA polymerase II promoter by glucose; F:sequence-specific DNA binding; C:nucleus
ppa:PAS_chr1-4_0295;	P:GO:0006633; P:GO:0042759; F:GO:0000287; F:GO:0004312; F:GO:0004315; F:GO:0004316; F:GO:0004321; F:GO:0008897; F:GO:0016491; F:GO:0016740; F:GO:0046872; C:GO:0005835	P:fatty acid biosynthetic process; P:long-chain fatty acid biosynthetic process; F:magnesium ion binding; F:fatty acid synthase activity; F:3-oxoacyl-[acyl-carrier-protein] synthase activity; F:3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; F:fatty-acyl-CoA synthase activity; F:holo-[acyl-carrier-protein] synthase activity; F:oxidoreductase activity; F:transferase activity; F:metal ion binding; C:fatty acid synthase complex
ppa:PAS_chr1-4_0294;		
ppa:PAS_chr1-4_0293;	P:GO:0032958; P:GO:0046854; F:GO:0000824; F:GO:0000828; F:GO:0008440; F:GO:0016301; C:GO:0005634; C:GO:0005737	"P:inositol phosphate biosynthetic process; P:phosphatidylinositol phosphate biosynthetic process; F:inositol-1,4,5,6-tetrakisphosphate 3-kinase activity; F:inositol hexakisphosphate kinase activity; F:inositol-1,4,5-trisphosphate 3-kinase activity; F:kinase activity; C:nucleus; C:cytoplasm"
ppa:PAS_chr1-4_0292;	P:GO:0006094; P:GO:0006096; F:GO:0004618; F:GO:0005516; F:GO:0005524; F:GO:0016301; F:GO:0043531; C:GO:0005829	P:gluconeogenesis; P:glycolytic process; F:phosphoglycerate kinase activity; F:calmodulin binding; F:ATP binding; F:kinase activity; F:ADP binding; C:cytosol
ppa:PAS_chr1-4_0291;		
ppa:PAS_chr1-4_0290;	P:GO:0006355; P:GO:0006357; P:GO:0045944; F:GO:0000976; F:GO:0000981; F:GO:0003677; F:GO:0003700; F:GO:0008270; F:GO:0046872; C:GO:0005634	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; P:positive regulation of transcription by RNA polymerase II; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:DNA-binding transcription factor activity; F:zinc ion binding; F:metal ion binding; C:nucleus"
ppa:PAS_chr1-4_0289;	P:GO:0006413; F:GO:0003743; F:GO:0008237; F:GO:0031369; C:GO:0071541	"P:translational initiation; F:translation initiation factor activity; F:metallopeptidase activity; F:translation initiation factor binding; C:eukaryotic translation initiation factor 3 complex, eIF3m"
ppa:PAS_chr1-4_0288;	P:GO:0006357; P:GO:0060962; F:GO:0003712	P:regulation of transcription by RNA polymerase II; P:regulation of ribosomal protein gene transcription by RNA polymerase II; F:transcription coregulator activity
ppa:PAS_chr1-4_0666;	C:GO:0005737	C:cytoplasm
ppa:PAS_chr1-4_0287;		
ppa:PAS_chr1-4_0286;	P:GO:0006355; P:GO:0006357; P:GO:0009653; P:GO:0030154; F:GO:0000978; F:GO:0000981; F:GO:0003677; F:GO:0003700; F:GO:0043565; C:GO:0005634	"P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; P:anatomical structure morphogenesis; P:cell differentiation; F:RNA polymerase II cis-regulatory region sequence-specific DNA binding; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding; C:nucleus"
ppa:PAS_chr1-4_0285;	P:GO:0000463; P:GO:0000466; C:GO:0005730	"P:maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); P:maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA); C:nucleolus"
ppa:PAS_chr1-4_0699;	F:GO:0016298; F:GO:0016787	F:lipase activity; F:hydrolase activity
ppa:PAS_chr1-4_0284;	P:GO:0016226; P:GO:0097428; F:GO:0005506; F:GO:0051536; F:GO:0051539; C:GO:0005739	"P:iron-sulfur cluster assembly; P:protein maturation by iron-sulfur cluster transfer; F:iron ion binding; F:iron-sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; C:mitochondrion"
ppa:PAS_chr1-4_0283;	P:GO:0043484; P:GO:1990428; F:GO:0003723; F:GO:0003730; C:GO:0005634; C:GO:0005739; C:GO:0005829	P:regulation of RNA splicing; P:miRNA transport; F:RNA binding; F:mRNA 3'-UTR binding; C:nucleus; C:mitochondrion; C:cytosol
ppa:PAS_chr1-4_0282;	P:GO:0006334; P:GO:0030261; P:GO:0045910; F:GO:0003677; F:GO:0003690; F:GO:0030527; F:GO:0031492; C:GO:0000786; C:GO:0005634; C:GO:0005694	P:nucleosome assembly; P:chromosome condensation; P:negative regulation of DNA recombination; F:DNA binding; F:double-stranded DNA binding; F:structural constituent of chromatin; F:nucleosomal DNA binding; C:nucleosome; C:nucleus; C:chromosome
ppa:PAS_chr1-4_0281;	P:GO:0010833; F:GO:0003677; F:GO:0003691; F:GO:0042162; F:GO:0042803; C:GO:0005634; C:GO:0043229	P:telomere maintenance via telomere lengthening; F:DNA binding; F:double-stranded telomeric DNA binding; F:telomeric DNA binding; F:protein homodimerization activity; C:nucleus; C:intracellular organelle
ppa:PAS_chr1-4_0698;	P:GO:0006812; P:GO:0030003; P:GO:0055085; P:GO:0061509; P:GO:0098655; P:GO:0098771; F:GO:0004722; F:GO:0008324; F:GO:0016787; F:GO:0017018; C:GO:0016020; C:GO:0090443	P:monoatomic cation transport; P:intracellular monoatomic cation homeostasis; P:transmembrane transport; P:asymmetric protein localization to old mitotic spindle pole body; P:monoatomic cation transmembrane transport; P:inorganic ion homeostasis; F:protein serine/threonine phosphatase activity; F:monoatomic cation transmembrane transporter activity; F:hydrolase activity; F:myosin phosphatase activity; C:membrane; C:FAR/SIN/STRIPAK complex
ppa:PAS_chr1-4_0280;	P:GO:0006812; P:GO:0030003; P:GO:0055085; P:GO:0061509; P:GO:0098655; P:GO:0098771; F:GO:0004722; F:GO:0008324; F:GO:0016787; F:GO:0017018; C:GO:0016020; C:GO:0090443	P:monoatomic cation transport; P:intracellular monoatomic cation homeostasis; P:transmembrane transport; P:asymmetric protein localization to old mitotic spindle pole body; P:monoatomic cation transmembrane transport; P:inorganic ion homeostasis; F:protein serine/threonine phosphatase activity; F:monoatomic cation transmembrane transporter activity; F:hydrolase activity; F:myosin phosphatase activity; C:membrane; C:FAR/SIN/STRIPAK complex
ppa:PAS_chr1-4_0279;	P:GO:0038066; F:GO:0004672; F:GO:0005524; F:GO:0016301	P:p38MAPK cascade; F:protein kinase activity; F:ATP binding; F:kinase activity
ppa:PAS_chr1-4_0278;	F:GO:0008142; F:GO:0008289; C:GO:0005829; C:GO:0016020; C:GO:0043231	F:oxysterol binding; F:lipid binding; C:cytosol; C:membrane; C:intracellular membrane-bounded organelle
ppa:PAS_chr1-4_0277;	P:GO:0000956; P:GO:0110155; F:GO:0000166; F:GO:0003723; F:GO:0004518; F:GO:0034353; F:GO:0046872; C:GO:0005634; C:GO:0005829	P:nuclear-transcribed mRNA catabolic process; P:NAD-cap decapping; F:nucleotide binding; F:RNA binding; F:nuclease activity; F:mRNA 5'-diphosphatase activity; F:metal ion binding; C:nucleus; C:cytosol
ppa:PAS_chr1-4_0276;		
ppa:PAS_chr1-4_0697;	P:GO:0002181; P:GO:0006412; P:GO:0006730; P:GO:0042273; P:GO:0046452; P:GO:0046654; P:GO:0046655; F:GO:0003735; F:GO:0004146; F:GO:0016491; F:GO:0050661; C:GO:0005634; C:GO:0005730; C:GO:0005739; C:GO:0005829; C:GO:0005840; C:GO:0022625; C:GO:1990904	P:cytoplasmic translation; P:translation; P:one-carbon metabolic process; P:ribosomal large subunit biogenesis; P:dihydrofolate metabolic process; P:tetrahydrofolate biosynthetic process; P:folic acid metabolic process; F:structural constituent of ribosome; F:dihydrofolate reductase activity; F:oxidoreductase activity; F:NADP binding; C:nucleus; C:nucleolus; C:mitochondrion; C:cytosol; C:ribosome; C:cytosolic large ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr1-4_0275;	P:GO:0002181; P:GO:0006364; P:GO:0006412; P:GO:0042273; F:GO:0003735; C:GO:0005737; C:GO:0005829; C:GO:0005840; C:GO:0022625; C:GO:1990904	P:cytoplasmic translation; P:rRNA processing; P:translation; P:ribosomal large subunit biogenesis; F:structural constituent of ribosome; C:cytoplasm; C:cytosol; C:ribosome; C:cytosolic large ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr1-4_0274;	P:GO:0006412; P:GO:0006730; P:GO:0046452; P:GO:0046654; P:GO:0046655; F:GO:0003735; F:GO:0004146; F:GO:0016491; F:GO:0050661; C:GO:0005739; C:GO:0005829; C:GO:0005840; C:GO:0016020; C:GO:1990904	P:translation; P:one-carbon metabolic process; P:dihydrofolate metabolic process; P:tetrahydrofolate biosynthetic process; P:folic acid metabolic process; F:structural constituent of ribosome; F:dihydrofolate reductase activity; F:oxidoreductase activity; F:NADP binding; C:mitochondrion; C:cytosol; C:ribosome; C:membrane; C:ribonucleoprotein complex
ppa:PAS_chr1-4_0273;	P:GO:0035556; F:GO:0004672; F:GO:0004674; F:GO:0005524; C:GO:0005737	P:intracellular signal transduction; F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding; C:cytoplasm
ppa:PAS_chr1-4_0272;	P:GO:0006457; P:GO:0030150; F:GO:0000774; F:GO:0042803; F:GO:0051082; F:GO:0051087; C:GO:0001405; C:GO:0005739; C:GO:0005759; C:GO:0005829	"P:protein folding; P:protein import into mitochondrial matrix; F:adenyl-nucleotide exchange factor activity; F:protein homodimerization activity; F:unfolded protein binding; F:protein-folding chaperone binding; C:PAM complex, Tim23 associated import motor; C:mitochondrion; C:mitochondrial matrix; C:cytosol"
ppa:PAS_chr1-4_0271;	P:GO:0000165; P:GO:0060237; F:GO:0004672; F:GO:0004674; F:GO:0004708; F:GO:0005524	P:MAPK cascade; P:regulation of fungal-type cell wall organization; F:protein kinase activity; F:protein serine/threonine kinase activity; F:MAP kinase kinase activity; F:ATP binding
ppa:PAS_chr1-4_0270;		
ppa:PAS_chr1-4_0269;		
ppa:PAS_chr1-4_0268;	P:GO:0006888; P:GO:0007030; F:GO:0031267; C:GO:0005794	P:endoplasmic reticulum to Golgi vesicle-mediated transport; P:Golgi organization; F:small GTPase binding; C:Golgi apparatus
ppa:PAS_chr1-4_0267;	F:GO:0016884; C:GO:0005739	"F:carbon-nitrogen ligase activity, with glutamine as amido-N-donor; C:mitochondrion"
ppa:PAS_chr1-4_0665;		
ppa:PAS_chr1-4_0265;	P:GO:0006338; P:GO:0006355; P:GO:0006357; F:GO:0042393; C:GO:0000785; C:GO:0005634; C:GO:0005669; C:GO:0005674; C:GO:0016514; C:GO:0031011	P:chromatin remodeling; P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:histone binding; C:chromatin; C:nucleus; C:transcription factor TFIID complex; C:transcription factor TFIIF complex; C:SWI/SNF complex; C:Ino80 complex
ppa:PAS_chr1-4_0264;	P:GO:0005975; F:GO:0000287; F:GO:0004614; F:GO:0046872; C:GO:0005829	P:carbohydrate metabolic process; F:magnesium ion binding; F:phosphoglucomutase activity; F:metal ion binding; C:cytosol
ppa:PAS_chr1-4_0664;		
ppa:PAS_chr1-4_0263;		
ppa:PAS_chr1-4_0262;	P:GO:0006356; P:GO:0006359; P:GO:0006974; P:GO:0051726; F:GO:0004674; F:GO:0005524; F:GO:0016747; F:GO:0106310; C:GO:0005634; C:GO:0005829; C:GO:0005956; C:GO:0043231	"P:regulation of transcription by RNA polymerase I; P:regulation of transcription by RNA polymerase III; P:DNA damage response; P:regulation of cell cycle; F:protein serine/threonine kinase activity; F:ATP binding; F:acyltransferase activity, transferring groups other than amino-acyl groups; F:protein serine kinase activity; C:nucleus; C:cytosol; C:protein kinase CK2 complex; C:intracellular membrane-bounded organelle"
ppa:PAS_chr1-4_0261;		
ppa:PAS_chr1-4_0260;		
ppa:PAS_chr1-4_0258;	F:GO:0016301	F:kinase activity
ppa:PAS_chr1-4_0257;	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
ppa:PAS_chr1-4_0256;		
ppa:PAS_chr1-4_0255;	P:GO:0006351; P:GO:0006355; P:GO:0006357; F:GO:0000981; F:GO:0003677; F:GO:0008270; F:GO:0046872; C:GO:0005634	"P:DNA-templated transcription; P:regulation of DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:DNA-binding transcription factor activity, RNA polymerase II-specific; F:DNA binding; F:zinc ion binding; F:metal ion binding; C:nucleus"
ppa:PAS_chr1-4_0254;	P:GO:0006086; P:GO:0044281; F:GO:0004742; F:GO:0016746; C:GO:0045254	P:acetyl-CoA biosynthetic process from pyruvate; P:small molecule metabolic process; F:dihydrolipoyllysine-residue acetyltransferase activity; F:acyltransferase activity; C:pyruvate dehydrogenase complex
ppa:PAS_chr1-4_0253;	P:GO:0000096; P:GO:0000103; P:GO:0006790; P:GO:0009086; P:GO:0010134; P:GO:0019344; P:GO:0019379; P:GO:0070814; F:GO:0004781; F:GO:0005524; F:GO:0016779; C:GO:0005737	"P:sulfur amino acid metabolic process; P:sulfate assimilation; P:sulfur compound metabolic process; P:methionine biosynthetic process; P:sulfate assimilation via adenylyl sulfate reduction; P:cysteine biosynthetic process; P:sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin); P:hydrogen sulfide biosynthetic process; F:sulfate adenylyltransferase (ATP) activity; F:ATP binding; F:nucleotidyltransferase activity; C:cytoplasm"
ppa:PAS_chr1-4_0252;		
ppa:PAS_chr1-4_0251;	P:GO:0006508; F:GO:0004252; F:GO:0008233; F:GO:0008236; C:GO:0005615; C:GO:0016020	P:proteolysis; F:serine-type endopeptidase activity; F:peptidase activity; F:serine-type peptidase activity; C:extracellular space; C:membrane
ppa:PAS_chr1-4_0249;	P:GO:0006508; P:GO:0006633; P:GO:0044281; P:GO:2001295; F:GO:0003989; F:GO:0004075; F:GO:0004252; F:GO:0005524; F:GO:0008236; F:GO:0016874; F:GO:0046872; C:GO:0005739	P:proteolysis; P:fatty acid biosynthetic process; P:small molecule metabolic process; P:malonyl-CoA biosynthetic process; F:acetyl-CoA carboxylase activity; F:biotin carboxylase activity; F:serine-type endopeptidase activity; F:ATP binding; F:serine-type peptidase activity; F:ligase activity; F:metal ion binding; C:mitochondrion
ppa:PAS_chr1-4_0248;	P:GO:0015031; P:GO:0030150; F:GO:0008320; C:GO:0005739; C:GO:0005743; C:GO:0005744	P:protein transport; P:protein import into mitochondrial matrix; F:protein transmembrane transporter activity; C:mitochondrion; C:mitochondrial inner membrane; C:TIM23 mitochondrial import inner membrane translocase complex
ppa:PAS_chr1-4_0247;	P:GO:0002943; P:GO:0006397; P:GO:0008033; F:GO:0016491; F:GO:0017150; F:GO:0050660; C:GO:0005737	P:tRNA dihydrouridine synthesis; P:mRNA processing; P:tRNA processing; F:oxidoreductase activity; F:tRNA dihydrouridine synthase activity; F:flavin adenine dinucleotide binding; C:cytoplasm
ppa:PAS_chr1-4_0246;	P:GO:0006826; P:GO:0030001; P:GO:0030026; P:GO:0070574; P:GO:0071421; F:GO:0005384; F:GO:0015086; F:GO:0046873; C:GO:0005886; C:GO:0016020	P:iron ion transport; P:metal ion transport; P:intracellular manganese ion homeostasis; P:cadmium ion transmembrane transport; P:manganese ion transmembrane transport; F:manganese ion transmembrane transporter activity; F:cadmium ion transmembrane transporter activity; F:metal ion transmembrane transporter activity; C:plasma membrane; C:membrane
ppa:PAS_chr1-4_0245;	P:GO:0006281; P:GO:0006289; P:GO:0006351; P:GO:0006357; F:GO:0008270; F:GO:0046872; C:GO:0000439; C:GO:0005634; C:GO:0005675	P:DNA repair; P:nucleotide-excision repair; P:DNA-templated transcription; P:regulation of transcription by RNA polymerase II; F:zinc ion binding; F:metal ion binding; C:transcription factor TFIIH core complex; C:nucleus; C:transcription factor TFIIH holo complex
ppa:PAS_chr1-4_0244;	P:GO:0006897; P:GO:0007015; F:GO:0005543; F:GO:0008289; F:GO:0030276; C:GO:0005737; C:GO:0005768; C:GO:0005886; C:GO:0030125	P:endocytosis; P:actin filament organization; F:phospholipid binding; F:lipid binding; F:clathrin binding; C:cytoplasm; C:endosome; C:plasma membrane; C:clathrin vesicle coat
ppa:PAS_chr1-4_0243;	P:GO:0006565; P:GO:0006567; P:GO:0009097; F:GO:0003941; F:GO:0004794; F:GO:0016829; F:GO:0030170	P:L-serine catabolic process; P:threonine catabolic process; P:isoleucine biosynthetic process; F:L-serine ammonia-lyase activity; F:threonine deaminase activity; F:lyase activity; F:pyridoxal phosphate binding
ppa:PAS_chr1-4_0242;	P:GO:0007117; P:GO:0009272; P:GO:0016052; P:GO:0071555; F:GO:0003674; F:GO:0008496; F:GO:0016798; C:GO:0005783; C:GO:0005886; C:GO:0005933; C:GO:0098552	"P:budding cell bud growth; P:fungal-type cell wall biogenesis; P:carbohydrate catabolic process; P:cell wall organization; F:molecular_function; F:mannan endo-1,6-alpha-mannosidase activity; F:hydrolase activity, acting on glycosyl bonds; C:endoplasmic reticulum; C:plasma membrane; C:cellular bud; C:side of membrane"
ppa:PAS_chr1-4_0241;	P:GO:0033617; C:GO:0005746; C:GO:0016020	P:mitochondrial cytochrome c oxidase assembly; C:obsolete mitochondrial respirasome; C:membrane
ppa:PAS_chr1-4_0240;		
ppa:PAS_chr1-4_0239;	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:0022625; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:ribosome; C:cytosolic large ribosomal subunit; C:ribonucleoprotein complex
ppa:PAS_chr1-4_0238;	F:GO:0019239; C:GO:0005739; C:GO:0005829	F:deaminase activity; C:mitochondrion; C:cytosol
ppa:PAS_chr1-4_0237;	P:GO:0006486; P:GO:0006487; P:GO:0006490; P:GO:0033617; F:GO:0016757; F:GO:0016758; F:GO:0042283; C:GO:0005739; C:GO:0005783; C:GO:0005789; C:GO:0016020	"P:protein glycosylation; P:protein N-linked glycosylation; P:obsolete oligosaccharide-lipid intermediate biosynthetic process; P:mitochondrial cytochrome c oxidase assembly; F:glycosyltransferase activity; F:hexosyltransferase activity; F:dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; C:mitochondrion; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane"
ppa:PAS_chr1-4_0236;	P:GO:0051301; F:GO:0016538; F:GO:0019901; C:GO:0000307; C:GO:0005634	P:cell division; F:cyclin-dependent protein serine/threonine kinase regulator activity; F:protein kinase binding; C:cyclin-dependent protein kinase holoenzyme complex; C:nucleus
ppa:PAS_chr1-4_0235;ppa:PAS_chr3_1174;	P:GO:0000028; P:GO:0000054; P:GO:0002181; P:GO:0006412; P:GO:0030490; P:GO:1900153; F:GO:0003735; C:GO:0005737; C:GO:0005829; C:GO:0005840; C:GO:0022627; C:GO:1990904	"P:ribosomal small subunit assembly; P:ribosomal subunit export from nucleus; P:cytoplasmic translation; P:translation; P:maturation of SSU-rRNA; P:positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay; F:structural constituent of ribosome; C:cytoplasm; C:cytosol; C:ribosome; C:cytosolic small ribosomal subunit; C:ribonucleoprotein complex"
